[dispatch] WELCOME  -> no handler
[dispatch] bct 8 19 0 0 0 0 0 0 0  -> handled
[dispatch] bct 8 20 0 0 0 0 0 0 0  -> handled
[dispatch] bct 8 21 0 1 0 0 0 1 0  -> handled
[dispatch] bct 8 22 0 0 0 0 0 0 0  -> handled
[dispatch] bct 8 23 0 1 1 0 0 0 0  -> handled
[dispatch] bct 8 24 1 0 0 0 0 0 1  -> handled
[dispatch] bct 8 25 1 0 0 0 0 0 0  -> handled
[dispatch] bct 8 26 1 0 0 0 1 0 0  -> handled
[dispatch] bct 8 27 0 0 0 0 0 0 0  -> handled
[dispatch] bct 8 28 1 1 0 0 0 0 0  -> handled
[dispatch] bct 8 29 0 0 0 0 0 0 0  -> handled
[dispatch] bct 9 0 0 0 0 0 0 1 0  -> handled
[dispatch] bct 9 1 0 0 0 0 0 0 0  -> handled
[dispatch] bct 9 2 0 0 0 0 0 0 1  -> handled
[dispatch] bct 9 3 1 0 1 0 0 1 0  -> handled
[dispatch] bct 9 4 0 0 1 0 0 0 0  -> handled
[dispatch] bct 9 5 0 2 0 1 0 0 0  -> handled
[dispatch] bct 9 6 0 0 0 0 0 0 0  -> handled
[dispatch] bct 9 7 3 0 0 0 1 0 0  -> handled
[dispatch] bct 9 8 0 0 0 0 0 0 0  -> handled
[dispatch] bct 9 9 0 1 0 0 0 0 0  -> handled
[dispatch] bct 9 10 0 0 0 0 0 0 0  -> handled
[dispatch] bct 9 11 0 0 0 0 0 0 0  -> handled
[dispatch] bct 9 12 1 0 0 0 0 0 0  -> handled
[dispatch] bct 9 13 0 1 0 0 0 0 0  -> handled
[dispatch] bct 9 14 0 0 0 0 0 1 0  -> handled
[dispatch] bct 9 15 1 0 0 0 0 0 0  -> handled
[dispatch] bct 9 16 1 0 0 0 0 0 0  -> handled
[dispatch] bct 9 17 0 0 1 0 1 0 0  -> handled
[dispatch] bct 9 18 1 1 0 0 0 0 0  -> handled
[dispatch] bct 9 19 0 0 1 0 0 0 0  -> handled
[dispatch] bct 9 20 3 0 0 0 0 0 0  -> handled
[dispatch] bct 9 21 0 0 0 0 0 0 0  -> handled
[dispatch] bct 9 22 1 0 0 0 0 0 0  -> handled
[dispatch] bct 9 23 0 1 0 0 0 1 0  -> handled
[dispatch] bct 9 24 0 0 0 1 0 0 0  -> handled
[dispatch] bct 9 25 0 0 2 0 0 0 0  -> handled
[dispatch] bct 9 26 3 0 1 0 0 0 0  -> handled
[dispatch] bct 9 27 0 0 0 0 1 0 0  -> handled
[dispatch] bct 9 28 0 0 0 0 0 0 0  -> handled
[dispatch] bct 9 29 0 0 0 0 0 0 0  -> handled
[dispatch] bct 10 0 1 1 0 1 0 0 0  -> handled
[dispatch] bct 10 1 0 0 0 0 0 0 0  -> handled
[dispatch] bct 10 2 0 1 0 0 0 0 0  -> handled
[dispatch] bct 10 3 0 1 0 0 0 0 0  -> handled
[dispatch] bct 10 4 0 0 0 0 0 0 0  -> handled
[dispatch] bct 10 5 0 1 0 0 0 0 0  -> handled
[dispatch] bct 10 6 0 0 0 0 1 1 0  -> handled
[dispatch] bct 10 7 1 2 0 0 0 0 0  -> handled
[dispatch] bct 10 8 1 0 0 0 0 0 0  -> handled
[dispatch] bct 10 9 0 0 0 0 0 0 0  -> handled
[dispatch] bct 10 10 0 1 1 0 0 1 0  -> handled
[dispatch] bct 10 11 0 0 0 0 0 0 0  -> handled
[dispatch] bct 10 12 0 0 2 0 0 0 1  -> handled
[dispatch] bct 10 13 0 0 0 0 0 0 0  -> handled
[dispatch] bct 10 14 0 1 0 0 0 0 0  -> handled
[dispatch] bct 10 15 1 0 0 0 0 0 0  -> handled
[dispatch] bct 10 16 0 2 0 0 0 0 0  -> handled
[dispatch] bct 10 17 1 0 0 0 0 0 0  -> handled
[dispatch] bct 10 18 1 0 0 0 0 0 0  -> handled
[dispatch] bct 10 19 1 0 0 0 0 1 0  -> handled
[dispatch] bct 10 20 0 1 1 1 0 0 0  -> handled
[dispatch] bct 10 21 0 0 0 0 0 0 0  -> handled
[dispatch] bct 10 22 0 0 0 1 0 0 0  -> handled
[dispatch] bct 10 23 0 0 1 1 1 0 0  -> handled
[dispatch] bct 10 24 1 0 0 0 0 0 0  -> handled
[dispatch] bct 10 25 0 0 0 0 0 0 0  -> handled
[dispatch] bct 10 26 0 0 0 0 0 0 0  -> handled
[dispatch] bct 10 27 0 0 0 1 0 0 0  -> handled
[dispatch] bct 10 28 2 0 0 0 1 0 0  -> handled
[dispatch] bct 10 29 1 1 0 0 0 0 0  -> handled
[dispatch] bct 11 0 1 0 0 0 0 0 0  -> handled
[dispatch] bct 11 1 2 0 0 0 0 0 0  -> handled
[dispatch] bct 11 2 0 0 1 1 0 0 0  -> handled
[dispatch] bct 11 3 0 1 0 0 0 0 0  -> handled
[dispatch] bct 11 4 0 0 0 0 0 0 0  -> handled
